	0
exp_with_feature_sel_1	0.85
exp_with_feature_sel_2	0.875
exp_with_feature_sel_3	0.8
exp_with_feature_sel_4	0.8
exp_with_feature_sel_5	0.85
exp_with_feature_sel_6	0.75
exp_with_feature_sel_7	0.925
exp_with_feature_sel_8	0.9
exp_with_feature_sel_9	0.875
exp_with_feature_sel_10	0.8
exp_with_feature_sel_11	0.9
exp_with_feature_sel_12	0.675
exp_with_feature_sel_13	0.85
exp_with_feature_sel_14	0.8
exp_with_feature_sel_15	0.825
exp_with_feature_sel_16	0.7
exp_with_feature_sel_17	0.875
exp_with_feature_sel_18	0.925
exp_with_feature_sel_19	0.875
exp_with_feature_sel_20	0.775
