	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20
aze_____________A	0.09983424973100138	0.061371471881670386	0.039132205418431154	0.077179284610779	0.05459430733341977	0.06606619605588647	0.08092240768480807	0.1293860577899445	0.05404370881655815	0.05241355424075825	0.05929593842475407	0.08636277290166844	0.09909292223726023	0.0878871602393706	0.02916053757877288	0.07801607602228057	0.10217612587749296	0.09656587638286009	0.04664730484386234	0.0731397125629454
ipk_____________A	0.017677077922926637	0.04438532763615656	0.025338508963094374	0.025301476423137095	0.05200465261964246	0.02740499750913587	0.036762586101279644	0.03778476346474542	0.04455343408251078	0.013813233622446078	0.038876196662403356	0.055453420207726624	0.028010743038151625	0.06903002482024014	0.044190696103979736	0.01927298470578774	0.031543477131841746	0.08258825024252926	0.025886685452681236	0.05951183448879173
kln_____________A	0.04004620043897738	0.036673045023401955	0.021277016886763894	0.02608154618493003	0.05568955137170669	0.019980211061991666	0.021404503579516412	0.04441288543532018	0.05167557080796629	0.02680498357187472	0.03436432917868292	0.033493169723988345	0.028293767916584937	0.03656494429328461	0.02643358292197753	0.013519753654881301	0.020466680789553684	0.067274680032627	0.026787658953781292	0.05747012612135585
oji_____________A	0.023044413393066145	0.048746325580221614	0.024437732001856432	0.026184501754685785	0.04908472640862803	0.029488270663085174	0.03248353552413661	0.03623511247895309	0.04409949793887664	0.01761578744305123	0.041896026438104764	0.06076315679018029	0.031028523951635703	0.07589730586468613	0.04721782121532847	0.02034028986922441	0.03408211150753512	0.07899484466348951	0.02528317725013601	0.06538973337702045
cre_____________A	0.021181516534928346	0.05220668180052295	0.028528313236326965	0.029094462671437442	0.06313410735702071	0.03208081542697141	0.04288117076387885	0.044034053179018394	0.05178343074127307	0.016892827942695116	0.04570375440055974	0.06734792355293816	0.0332839584735129	0.08387264454193163	0.051582383180708576	0.021331023600847036	0.037006074054686665	0.09997302157952982	0.029374376419830407	0.07100328939550503
mlg_____________A	0.06954606197370898	0.11489009186276104	0.06260360549263101	0.06358973657087365	0.12116562790814366	0.09582322134946292	0.10157682688892058	0.14659319300531135	0.08204206279570514	0.037486430709103756	0.07952383197070449	0.12884178920383862	0.08132883571097242	0.12343969452266138	0.09140203540393953	0.09784385516029234	0.10020321057732083	0.15366627046154882	0.09868158361810309	0.1507653079218493
srd_____________A	0.05240327750561183	0.07912765084177695	0.040704464032282416	0.04818256690970973	0.058400505368332745	0.05693743678848946	0.0605743942058689	0.13104698559752254	0.047587578788362186	0.03363478936702877	0.06696862683980195	0.06826169919461018	0.04998941320464922	0.08527550395972297	0.051091747243026876	0.06149039964001452	0.07553067860708595	0.09155050820074885	0.09326100396223135	0.1046017445554959
kpe_____________A	0.018400610829271954	0.025623400427995106	0.013435393108260326	0.012350479677318353	0.028277039754040452	0.017620325633121395	0.016816336298255095	0.021942971110239372	0.018422752605962975	0.010532334275216167	0.022057450713023657	0.029820057405302337	0.019166615686563873	0.0341300958039304	0.05477349010292409	0.010886791472314713	0.019095930570977596	0.03260583265607555	0.014309655808719905	0.038874043211616915
gba_____________A	0.03574553110383183	0.03540859400743427	0.014627501300919974	0.019163927535109027	0.05333547183076171	0.01742161740826941	0.020816067205360046	0.03582013447949406	0.04928387596747187	0.026224028871903015	0.03332608094034819	0.032408221522320424	0.024754153257871083	0.03564768383085928	0.02562985872755027	0.011321318842389455	0.01980678608785225	0.05105733109057112	0.02313745487517481	0.05537836766575784
tmh_____________A	0.028964173373509712	0.062046680919482296	0.030035180609546297	0.03170787455247203	0.06985755322258401	0.03693534984561773	0.04292933659912996	0.04576733780458396	0.05267948985519765	0.022729360647911312	0.0526799524396409	0.07930908550669924	0.039596184189174724	0.09838022612695287	0.058077371041054274	0.023208523555593455	0.04292290267080234	0.10827633739449244	0.030901237255420853	0.08331448544363425
