	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20
aze_____________A	0.026010773517965456	0.06340963747539323	0.05295377487264449	0.04979719026931706	0.038220383607828326	0.04664608489887107	0.029406721840716896	0.02897141501288598	0.039053462375162495	0.018050375382555366	0.03726624370469311	0.03688205477877473	0.03724539745569613	0.05480837971505821	0.030533876301037006	0.04745375809306659	0.05064382712504205	0.04320790334005893	0.044564416857837796	0.022019786167405016
ipk_____________A	0.2046655710447797	0.3237032149594971	0.1604844292298798	0.32003487558212657	0.30514976747132994	0.588813646137926	0.281554382355206	0.3631075468174051	0.2525442237459544	0.35885803935405014	0.22243515112387371	0.2510650487736488	0.18103317678977998	0.1796507653961528	0.24621222812417923	0.27120079930354757	0.3691088984529705	0.25417199493461334	0.2901091085210533	0.22401279900048462
kln_____________A	0.12125995677617085	0.15009921081579233	0.18968111256016812	0.0978190366762593	0.06875824200979018	0.12741505351867227	0.08393198959492945	0.11129042884107126	0.08600843135997797	0.10784122697220516	0.1732498468098278	0.13826865484724715	0.16700552776212044	0.07424878364569738	0.13770673641515338	0.09100044997240714	0.09930500114382865	0.10406869158797039	0.1430905910980154	0.1499457072646325
oji_____________A	0.30165860896447694	0.5245140796761919	0.2092030965326697	0.2681498793230408	0.26540763359747016	0.5292223038028232	0.24327421104555905	0.30951766933735897	0.3398858827979464	0.307761393159317	0.4005235178321055	0.35017933017726127	0.3812778370497635	0.316762503669959	0.38359247160901483	0.2908382891927788	0.3143596319099086	0.35593859923235194	0.3983066242637714	0.33523789603855747
cre_____________A	0.1806606928485066	0.2957462980410931	0.13950327309089694	0.2556253645596413	0.2603541709045557	0.49197356794346636	0.2312807285442876	0.28998963103000036	0.22545751990552074	0.2940887720078209	0.21123081171022834	0.21034814054415063	0.16382822855541407	0.16680642319002922	0.22154565547659189	0.22751097077534993	0.3305824205769513	0.22456102380639487	0.2687880853333067	0.1826849592416134
mlg_____________A	0.1777019250477795	0.1581706571477008	0.038454124144480774	0.09170171639920309	0.08777608505561776	0.1624060731666284	0.03215516404178833	0.06948909643886578	0.18906157572503668	0.12910403599949902	0.100759806379313	0.12239151657453279	0.19171737140433828	0.026637167255413836	0.10305052897433783	0.06919914446647606	0.11233683720781218	0.037359635483136595	0.09033735622071724	0.05070311444715404
srd_____________A	0.23339093260777735	0.5048827310261595	0.09002997541802202	0.21722088968742254	0.362803801681513	0.4688842073656051	0.06918533786413869	0.1942707363766762	0.3989381581993147	0.2677729729087148	0.19754470727055443	0.27976714004162595	0.3609516598756588	0.10121968717243461	0.16453569662757905	0.24036487107469082	0.3110113678512846	0.26414402196304737	0.2176314866945527	0.1702995102926632
kpe_____________A	0.16639621748986386	0.36143637485973557	0.15688294096754166	0.10853657428623531	0.2173558297164095	0.29893722756287633	0.1909631383511256	0.1829321875842292	0.17838218322704505	0.23937506398769612	0.20649293270670763	0.2616108386982943	0.2697781137646097	0.250959689156494	0.3067712673056032	0.14885017589367397	0.2080688840442754	0.28453726208272473	0.3402199980188711	0.22690076441993717
gba_____________A	0.1392684281275244	0.19102694999566863	0.1579693770827052	0.11156439112606785	0.07760819867935273	0.1570966878922059	0.11574118010847342	0.1268604812215357	0.09535874311239596	0.12133042045931239	0.18701467820676734	0.1583337113275302	0.18724430326059174	0.11960279077907401	0.15247216159258947	0.1089391078697148	0.10448565565621654	0.11740589476750017	0.15178757599902945	0.16051147516316877
tmh_____________A	0.2217618298482605	0.4144605243049087	0.1433638407672064	0.18810463686641818	0.20808996672554322	0.3720344498097442	0.17865443497116693	0.21585579350299752	0.23397997611283752	0.22350210823401703	0.3121701629923823	0.23941686362665118	0.282104406193151	0.24101263496774097	0.2895730432694342	0.20896692106708126	0.24385188890924195	0.2673023543149157	0.3293867016399185	0.1998712098971364
aka_____________A	0.08951218903713726	0.09406815733369885	0.05261373626797167	0.02751533143701352	0.03190351647964948	0.052355660477278014	0.031466816985248273	0.040791223156500724	0.0848042330295101	0.08929058982794288	0.027680954997858217	0.16927575613462834	0.09684303900654881	0.03388545274295731	0.13041628639788638	0.01961430787337302	0.050862587285259726	0.06885596406999563	0.0661982233625681	0.0785689328036851
