	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20
aze_____________A	0.05287555953187634	0.05277649040507052	0.0696855014064874	0.12784333968586692	0.0461034194596281	0.023258203667105452	0.04234833921022883	0.05914115091406869	0.06840565678997132	0.021795035415787842	0.029112286995214516	0.027104173780776022	0.05021556962115217	0.05768018755336062	0.03351896256908215	0.10701386134116542	0.08802689648318816	0.03531195804175937	0.030583277821580712	0.02732079780781583
ipk_____________A	0.6284850297784095	0.5446329396680011	0.5440474639084921	0.33955130299330466	0.5450808856875203	0.2921559832384829	0.3712882914192218	0.4148761041923067	0.6163211544333986	0.37484255911234154	0.577017884765551	0.5125514022536902	0.7288985326972429	0.6457543740033541	0.5608049210565011	0.4760172902700718	0.47751316487502293	0.5838952508306887	0.5890703317743397	0.6024113667724977
kln_____________A	0.75990020613384	0.738155296572346	0.47739182086722226	0.7800823158614499	0.5943500578822549	0.7629962900599502	0.5893960021605664	0.8020394241487004	0.7643266487399459	0.7140407768653736	0.6666168648224322	0.6826178474064147	0.7571345858383067	0.48264425853567966	0.5459299939710913	0.6088368280224	0.7279141050794385	0.5832786924821886	0.6124394661940273	0.4264549528692934
oji_____________A	0.4225358281313606	0.3008233701948016	0.3152269616311242	0.3572007855824984	0.567011904041256	0.3369172761449703	0.3709011188642486	0.4473037702046159	0.4654516638151871	0.3918916620327423	0.29095263739351074	0.3472821540387152	0.48468489629431577	0.39597517687122474	0.3382139134395952	0.36119996262407456	0.5285530765271105	0.4101711242506711	0.45010718381085485	0.2972127898607078
cre_____________A	0.6136347103101983	0.5420683544904867	0.48168202611211325	0.34264826202525445	0.5579123811905089	0.35334838262710727	0.3710774055923327	0.44997753891673087	0.5914466169562835	0.38018119146206925	0.5371169522200275	0.4915396236967911	0.7299756695508773	0.6158516434084375	0.5431437756353767	0.4659502108852989	0.4767950545304648	0.5757274871772681	0.5885210827183684	0.5713051662449462
mlg_____________A	0.16571259900907886	0.10721191240545992	0.03197365313515249	0.23467048066909504	0.07737818309795282	0.0803253401911642	0.05346069338954602	0.15073316708016576	0.1062775412627329	0.10399227544938223	0.07128519024905118	0.0804817335660885	0.16423490758683254	0.04150513318781721	0.04364079759783033	0.1814212097563228	0.19736496586305363	0.034152150258444626	0.05226108818913449	0.035133882178317734
srd_____________A	0.1822798388271621	0.17235103447985306	0.04642206971713206	0.36580591780455995	0.23545655825147907	0.09200490953992374	0.06840180545810834	0.2089968626048997	0.10368373183791364	0.16540325557472438	0.09365207993750083	0.10654402146078233	0.20842835187032455	0.0931751130467212	0.057915084872856515	0.3732291299217235	0.3173703853799344	0.1543431468526854	0.07701546100937016	0.05702158106974703
kpe_____________A	0.27407615121872797	0.21796383948243042	0.2829916155603827	0.18268017344665177	0.57717021956128	0.39817816164210407	0.364562580586121	0.3669355775443883	0.38600900468857985	0.3923380796498313	0.18381150784380124	0.3575676447007652	0.38728593145261136	0.4075781814049447	0.35549061922259134	0.23897808863113745	0.4498572390500919	0.4321636000631873	0.479825908649792	0.3033349459070188
gba_____________A	0.7465029120840893	0.7124043247333595	0.6112631598736911	0.7710588150497109	0.5994291104315701	0.7529148737434	0.7102843689820396	0.7886639081819619	0.7701936636021794	0.7092571386703624	0.6606145376994202	0.6712852812080493	0.7394300282810103	0.6122968977507528	0.6792390215739952	0.6548176773368782	0.7366631722771178	0.5806871993059762	0.7618395704767754	0.5941997720278936
tmh_____________A	0.4374015179783367	0.3498965971555344	0.2682866660694533	0.3464018791182747	0.5717489512392312	0.4384988789987438	0.3621696866630551	0.48541560644290005	0.495453349563138	0.3834105651584548	0.29493610844126944	0.34882786613891203	0.552482718597253	0.4000277824068379	0.3583360843413037	0.3605177871693372	0.557990505124258	0.4314950607155494	0.48074306270585265	0.2923160627726809
aka_____________A	0.07170796713295444	0.05319141327780603	0.03923405414178086	0.05397748456193824	0.03296437010891961	0.04681721117998014	0.04586659372296364	0.06667495398464057	0.020105912805197045	0.06623914267355416	0.018142509816572276	0.09205887207372096	0.060142827313296045	0.047453515073015935	0.046150698415808385	0.04292070480934145	0.028482801870837005	0.05627879036898179	0.07276208058519798	0.050117095745421295
