	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20
aze_____________A	0.5343048869856171	0.06412042849483113	0.08778823394570445	0.08144789523312113	0.321912844487542	0.07633446176818659	0.0868733839049225	0.08064934986789007	0.11559392117839984	0.20776973673522647	0.3222691016546163	0.1882319355214157	0.24073985694122346	0.23926513895926305	0.39546159932761205	0.089073812701428	0.10324777410033181	0.31754983833059613	0.22732133806991683	0.15802809567330045
ipk_____________A	0.8628388250077479	0.9131704765083379	0.6345932866476817	0.8763089084947928	0.7861530899619409	0.8885503282846067	0.7747147295805191	0.8670728425887377	0.8761683842187001	0.894086708508554	0.9212466764089944	0.9101587890531911	0.9125857431428955	0.875800754401288	0.8932164020535208	0.6357237119259929	0.882619316438282	0.9316226424667554	0.9243047877102084	0.7757604558587385
kln_____________A	0.912048639060037	0.8946671170745849	0.7915404566396562	0.8273000329377123	0.7036854163803969	0.542504511446017	0.5643197126720672	0.7640539716082055	0.5178104341183641	0.8177021031681413	0.7136089458253788	0.47726705206011766	0.6589892056960691	0.4169481696854551	0.6834856188299454	0.757009720795469	0.7554934572660706	0.693816712303041	0.6141613684120238	0.5882217591040192
oji_____________A	0.8628388250077479	0.9131704765083379	0.5866220649891261	0.8561108072286195	0.7861530899619409	0.8736026695909391	0.7438407051970177	0.8416844858783211	0.8558413102043723	0.8774512237699792	0.9212466764089944	0.894050332982032	0.9125857431428955	0.875800754401288	0.8932164020535208	0.5813810959660569	0.8633667112717198	0.9316226424667554	0.9243047877102084	0.7404440797736187
cre_____________A	0.8406994588096453	0.8946671170745849	0.5597654922907258	0.8402071537685807	0.7565603652534136	0.857636000018025	0.7169298316672508	0.8208951122597776	0.8334807565422134	0.8557678623520538	0.9042405321796221	0.8804288427479942	0.89670666298143	0.8520176349671078	0.8717595049010683	0.5467112358827169	0.8501530492881684	0.9213944354082085	0.9139478803150471	0.7114346402699332
mlg_____________A	0.2741587529131415	0.44375812640919265	0.0896869048734088	0.2949607933078561	0.13634619897852585	0.17849119438708538	0.14036345577583353	0.2870377395539927	0.17260657798258916	0.10036586730981478	0.05985185653326053	0.12030222507422828	0.2192121815239627	0.11839166154580538	0.05997194837771447	0.09125222383042708	0.18803118516614892	0.09166037626755563	0.31770796745158847	0.06931518478926302
srd_____________A	0.4335682782309709	0.6192208651780317	0.17061982781240237	0.49551000617786156	0.4538643907580875	0.6401381212079782	0.5007297830789816	0.48992558881452286	0.6374806561890269	0.22013864029112007	0.49261923750326175	0.44577611285016416	0.6446374485262434	0.6800213742524455	0.2862087549797703	0.1963007477562403	0.3368025620085948	0.40522440877456956	0.7919835408037044	0.32813124170107744
kpe_____________A	0.6710369568255212	0.8946671170745849	0.4995609039729202	0.8100919408235288	0.5287956677745861	0.8354386096949	0.49529115146009983	0.7820068370885421	0.8022268292969106	0.6561815052849229	0.9042405321796221	0.8553888350927659	0.89670666298143	0.8520176349671078	0.8717595049010683	0.47844658541236584	0.6808207358737912	0.9213944354082085	0.9139478803150471	0.661794789676867
gba_____________A	0.9364681454969171	0.8946671170745849	0.8117240229059697	0.88389379044512	0.7725021707971056	0.5646989906385897	0.5902658363021991	0.7864495908433146	0.5452824368001163	0.8326354867829728	0.7722992722579124	0.693924606324551	0.7392248389867238	0.4169481696854551	0.6834856188299454	0.7824508231538982	0.8248761415704913	0.7642780588171877	0.7034338706442163	0.6172539814905265
tmh_____________A	0.8243866890288823	0.880470460741968	0.4722337835305648	0.7919812725446342	0.7353479987008622	0.8186842247130764	0.6468433021410998	0.758009429205124	0.7781682066837917	0.8066609379666873	0.8911447891676545	0.8394123774997055	0.8847475512924875	0.8341536474394684	0.8554902028623543	0.44490851903678563	0.806026070766693	0.9138165858295965	0.9063461713426012	0.6316822606846586
