	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20
aze_____________A	0.18046973211864692	0.020903081667197242	0.14668288831634058	0.22535850055470988	0.05742963438088036	0.15761882488120707	0.2317819059998501	0.1053900444322758	0.10059752201828097	0.26815056152653144	0.13991488112621966	0.06904000609436799	0.13271723558202048	0.13215283808712255	0.0359416064327646	0.15115116130242018	0.24587861644652895	0.08720852109713396	0.13800291983518462	0.09774448221560951
ipk_____________A	0.026281328939051125	0.01640180326090567	0.024489555042830975	0.016718158915795537	0.03489340550597012	0.0353961646043593	0.03324485925395669	0.030091151944041737	0.035406233135405064	0.014373104382297384	0.06031072451764194	0.03695343382109028	0.022263862618471558	0.09237926647042861	0.052692271851190506	0.02557298925045479	0.030899399814121292	0.05087738267791142	0.024152824986183496	0.06442192562185327
kln_____________A	0.12476628881422391	0.04777605293797903	0.024156015795301536	0.015146453359161224	0.07664223037551966	0.024005990583471488	0.026050404073822753	0.0409713104191814	0.07079723936432723	0.028209708681845448	0.06952386523682233	0.021676400018790006	0.04037661538265266	0.03950863623687931	0.026917319898409967	0.01870276000981716	0.016678126727689542	0.06658528578320659	0.033014932016771255	0.06856573734200447
oji_____________A	0.051375969505613836	0.02312697484455887	0.03500686516383588	0.03282332114542135	0.04561007242562118	0.03649034693302474	0.044890152270478254	0.04574473942490454	0.043638010058603925	0.017808407954359267	0.06169947079642788	0.039393805123723494	0.02360178871746598	0.09762570523139755	0.05486242243494677	0.025476974663514656	0.032589168420592195	0.06783964754067656	0.025616572315270664	0.06686527639148411
cre_____________A	0.031577469606633275	0.018617620341094557	0.02763218237422631	0.019528213624396624	0.041033879706338185	0.038624795201731024	0.03927239990476432	0.035585661024075455	0.03986559057692394	0.015827562551594995	0.06589306788321378	0.04273109429915091	0.024639127588773922	0.10873572103162733	0.05785704753297143	0.026129815582229647	0.03441633375637448	0.06091741572944333	0.025679387471690227	0.07308669295340386
mlg_____________A	0.20379895527522637	0.17744185746370006	0.03598161354178182	0.038855979770429136	0.14578352870837508	0.17567260860446685	0.20168996440446882	0.40564887863303106	0.1045286213816304	0.022818294099240313	0.148592366631309	0.12492966923231713	0.10211191099395948	0.14595646036275162	0.3175505887709473	0.2274798909103433	0.08892829453328466	0.1134928177601366	0.11173290757584091	0.12148797705829972
srd_____________A	0.14696082409754924	0.03173964931903819	0.02182276390155484	0.03564931371202503	0.04981508807903367	0.0722310535430191	0.10224563875151993	0.14084122915929678	0.043690366976740336	0.03399713893307851	0.08129029627280276	0.042721986148181845	0.039520703671032456	0.10561819699549405	0.06282370424534614	0.09785993514639714	0.07686016307924792	0.07596225323234716	0.12112417158562633	0.0683376551206273
kpe_____________A	0.08804485797210149	0.05095805998792026	0.06971948262706812	0.06028082756261687	0.1340141502240011	0.06221008846245781	0.04817617597104174	0.10752373496612717	0.08732926903652859	0.04492626306304992	0.08623057460890449	0.08430408220938929	0.043191222385051437	0.1709620955825136	0.0593833712278931	0.04457174807835854	0.08406804184388089	0.09970795230067735	0.03989909470343675	0.16707184936382627
gba_____________A	0.07859852881129936	0.04723028140926029	0.019639096980159365	0.02591810659327704	0.07723256172993552	0.021795286243566695	0.025718337463710626	0.04924829870655587	0.07070578449064928	0.028701814303465096	0.06966673886812819	0.02134001989851599	0.02900505156675753	0.039488915052575596	0.025763785118821814	0.013470122206450457	0.01638753641348173	0.043310326059451176	0.024696358926284103	0.06848010953948644
tmh_____________A	0.05904075616675022	0.02618981051554501	0.03938786213450502	0.035137506236039576	0.057202564135381745	0.0411629784599139	0.05483954230244047	0.053146399202578375	0.04710207991759628	0.01948821169844889	0.0697031680920395	0.04775867522821509	0.027094606878965977	0.12140745256687939	0.06248071167887391	0.02587224340835989	0.03790436787837124	0.0844509929045954	0.027608309188994384	0.07963711961403129
