	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20
aze_____________A	0.2012823042063254	0.26231544406021573	0.09979718352956407	0.2803916315404163	0.32016909056250403	0.10449856893258243	0.08259924125232063	0.12481081143306424	0.12149543494273446	0.05115616899298079	0.2865397675753169	0.05059774750603483	0.15074666200045625	0.08590484661121536	0.26659271890497815	0.37846019560948924	0.4299108699627614	0.13671029400506285	0.09242558735882335	0.1730902704820517
ipk_____________A	0.05239670519899869	0.03957937384392057	0.058832889046953496	0.09996394918589746	0.02536317889702753	0.045193963706803925	0.046817170220454354	0.03298354964566547	0.030777272821478262	0.022891530061471405	0.05271066998662696	0.1250779248367407	0.029245525329382394	0.04364543461923419	0.06705163032954645	0.047271603704069715	0.05753712153847316	0.04337872484559833	0.02997776088269726	0.03706402255534021
kln_____________A	0.032590785421404096	0.04861403248609076	0.034478262895248316	0.04629885760643897	0.023139564486374588	0.03643240370916094	0.03465963090435913	0.01733739816215994	0.018579195628843092	0.037193091726476106	0.04705391613149058	0.060677346212400354	0.026313387634279775	0.05950673752462127	0.03685472699406818	0.05520161167972036	0.0509171495801544	0.06849469176919214	0.025700176666450702	0.030751715800260086
oji_____________A	0.06432889857612151	0.05029312745018674	0.07057188922252883	0.10917949590062687	0.026474293269730505	0.0502028764587472	0.04766722840405969	0.03516166176526696	0.03303168173969687	0.024580404532797518	0.07456559582604093	0.12620618359486638	0.043084554526978645	0.05307329773458534	0.0653552776956081	0.056306905562854545	0.05712276015362453	0.053844863047505444	0.0367315754120308	0.04907360230179657
cre_____________A	0.061619327982333334	0.04606915107439613	0.0691295695206364	0.11904583947367026	0.02820069039625446	0.06023122527383218	0.04968425021617249	0.03678071087524393	0.042227863811141	0.02577001633357884	0.0672040640289119	0.15477715673303713	0.03478298709802424	0.05076206325753707	0.07759278903820141	0.054783976307036325	0.07071658057738636	0.05061932620493819	0.03475468188282653	0.04420435673111664
mlg_____________A	0.15018258128268253	0.08395428539063392	0.43455577968788067	0.3255436188524604	0.09137489101619976	0.1916127953772094	0.11869276404866946	0.1004268432424127	0.1589946652583885	0.3016878055937678	0.4428683830436422	0.21108441294428693	0.4315116585295938	0.08598849343768403	0.14822599257829006	0.07838867660615358	0.20409369967800123	0.06805504392285382	0.13789250390818664	0.0313886946640426
srd_____________A	0.05965310000182629	0.0987193053123005	0.07701882938954867	0.12124374462344134	0.10698533157447637	0.1746637205192076	0.05865056007939109	0.05194931446834291	0.1134548483244212	0.055706751810691325	0.35901885977581705	0.14933450315220356	0.15734860899721453	0.04785476576485839	0.06084292187164394	0.06088315551676886	0.10458234973245113	0.07808981513446446	0.05567513736264874	0.03596761895901497
kpe_____________A	0.0853369644998548	0.06109865714908335	0.07752752989439037	0.11166960803240766	0.029294239020959952	0.0790911683574798	0.049938124168841413	0.04599404766617785	0.04243504917157254	0.027458654708226376	0.11290759454233655	0.16017380151406682	0.048516627996182456	0.05965004667307448	0.07828823847876269	0.04207400019978044	0.0943879049062907	0.06143455055930631	0.04255170779159501	0.053722721589836445
gba_____________A	0.032640304108401054	0.03597572642727172	0.04153678846081379	0.04469630725406402	0.0232870207520659	0.028293938267432827	0.02796532678966703	0.017169971210973994	0.01657079539595413	0.03632864729216531	0.04454327510182826	0.05845649192358885	0.025274535170776817	0.07008863146956716	0.03639178473003005	0.04041759729138308	0.04877730556426979	0.06913889772253512	0.021386479636654385	0.02958355476678787
tmh_____________A	0.07879482785245488	0.06230701944933662	0.08041297419364694	0.13803111194525225	0.03061435805206274	0.06700428052573823	0.05115835726215259	0.040094523359893865	0.04609005379568971	0.02839422376751818	0.09950740758499986	0.17604061434644422	0.05404843212678786	0.06353084066528514	0.08283234491924897	0.06683769482872652	0.07214037193709442	0.06557009624089354	0.044914415871785074	0.05605666803996597
