	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20
aze_____________A	0.7198313627438327	0.6214984280593205	0.7775635401913039	0.5419678385043998	0.5955071063700396	0.825597142501441	0.8456456976967337	0.787076622639981	0.7710454458921318	0.908998420208676	0.6470817017247754	0.8854160239344145	0.7617923709226954	0.8016065861203657	0.6693544422249027	0.4670721849562787	0.4314184064290085	0.7847698446131188	0.8324267179617582	0.7775691455427275
ipk_____________A	0.11445269397781212	0.09208447152858121	0.23663521781467456	0.24044987223867123	0.12440616794412222	0.07383640691678732	0.30034015600511776	0.18903279934462267	0.10035734899916879	0.24340787147213694	0.14783629412394828	0.11130562413592024	0.06082276518359474	0.13094942598125872	0.12593122048977318	0.20551030672231102	0.09584081513353343	0.11855402938909969	0.0908427988219098	0.13651181167167756
kln_____________A	0.08624905166858518	0.06313146012577081	0.29844880367736115	0.0757997898558519	0.31375213562158033	0.07315625271221667	0.29201237734014485	0.06933274884806827	0.13108572427123305	0.14092490443594508	0.11307937223624952	0.11843615153393779	0.04954649876529309	0.38360022029400165	0.2795085426196871	0.24496111032547263	0.12186374419657832	0.24415792416064902	0.21876976604150664	0.392847624065814
oji_____________A	0.21147666432804105	0.12436942267881972	0.4049980526136773	0.26546983919383393	0.14110616909154336	0.0836575435934594	0.33815744168613276	0.20801689869275825	0.16163077164716955	0.27576654027514325	0.23395824894834288	0.1763323321891572	0.09095271212894211	0.23418902172423084	0.21283833725578177	0.29165484262029207	0.09996453140935643	0.1800454134694715	0.11485461651334304	0.31847571179893813
cre_____________A	0.1440852688589617	0.11611619639402408	0.30968513127635344	0.28268053394143405	0.15353275750868098	0.0944468241555942	0.3479576156472073	0.22325211917802495	0.14086799932705482	0.2999600201965311	0.18444817204083228	0.14333507902602127	0.07141311479568441	0.16657987014399628	0.15771777984982985	0.2517548420323148	0.12190594431519744	0.1490921628113988	0.10793615006549828	0.20180551778232378
mlg_____________A	0.5064028946604591	0.6506631450562054	0.49501644303248593	0.3480841840792416	0.7434708408302296	0.565655791264998	0.7956913785199962	0.6793508932385558	0.5456662177538419	0.465215882957351	0.3850866203279936	0.5860423369150918	0.2125360624792354	0.845869206119085	0.7050826808495417	0.6709909691710476	0.48620449725113285	0.860433170335565	0.7195090516819618	0.8827743087104856
srd_____________A	0.5246761285632343	0.2240469291816869	0.7865291254752972	0.2957294478845761	0.29475430849253154	0.2644471625752637	0.803762296598362	0.5447830865500812	0.3839232616383505	0.5111170197058695	0.3497843530161277	0.4643543353453882	0.27327137925680206	0.7577504340159857	0.7167062966279205	0.32552284348681687	0.2670358970363299	0.5034230160498028	0.6496779149334284	0.7367112896785749
kpe_____________A	0.47419066679155336	0.3595011285087507	0.4825979135776853	0.5971136442347051	0.17617971170135038	0.22379344243753974	0.39453615689391197	0.4041381872052046	0.39317376291280254	0.3408282016542463	0.49678796490715454	0.22064771508687367	0.2944193267865965	0.2818120827654868	0.2594498749930427	0.5700977352754082	0.24768597199934186	0.2218645872947817	0.13740238553974174	0.4160415680832076
gba_____________A	0.08158835567998528	0.06059299884370023	0.18923067458279003	0.07268048657015735	0.29967567013701124	0.0616945000969612	0.14600912411982003	0.06730563938552848	0.11787679788947036	0.13308379357815978	0.10782750899198422	0.11192451554083162	0.048051133287621124	0.198011680000606	0.1318970321033852	0.19582561750202393	0.11007386650239594	0.23276800820398855	0.06498637388754086	0.21570519804214972
tmh_____________A	0.2620418243209479	0.17333585909022023	0.5079365189696934	0.3274623720700548	0.1895467239831629	0.1224623906657738	0.4080175211036254	0.2586340766942086	0.22447662052833486	0.36469310284001005	0.29338632098134854	0.23571465588799242	0.1113644430828082	0.295428741960136	0.269258527470013	0.363677596934855	0.1260172340294058	0.23563248872864123	0.14495581978244373	0.45175605929021667
