	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20
aze_____________A	0.9533547366254741	0.9100905391815096	0.9413709058907582	0.6863189099242243	0.772920558361558	0.9473076371919589	0.879813923290673	0.8519256799458875	0.8853714281469841	0.903385045899186	0.8676090692565855	0.7868928116691813	0.9330553680982189	0.9461075576826167	0.8171051094912645	0.9270296019975041	0.8948998450060658	0.9624880582022248	0.9278489758617596	0.8118410076608165
ipk_____________A	0.07941019562344703	0.0711008976202373	0.15724639691390166	0.059675624266232956	0.12689266677536748	0.17050205302949742	0.07400611180370434	0.1094587327865972	0.03741308888938796	0.08902725412684323	0.10967441873354256	0.06382953898882211	0.11297532912212278	0.06706766738123444	0.08033593757984975	0.121967271520371	0.118209906284224	0.10466322507930019	0.09974375778954252	0.0657326717456169
kln_____________A	0.1288314563618158	0.17876663686971206	0.18507947603152208	0.04155615847408842	0.2345517426756436	0.11961981109045433	0.18587671778899342	0.4260992380829348	0.03948858602708647	0.057329122291094874	0.3032205515943318	0.1355721255392525	0.08635376949908134	0.09582543740013902	0.32797830419370383	0.19777303334958582	0.13847540210072942	0.04052278994396908	0.18646791090478398	0.05181765203085364
oji_____________A	0.08770475478101385	0.1183657456513806	0.2818269681690823	0.09225169161717818	0.14526326100718087	0.1979817184779858	0.12331683977249533	0.2518668279418164	0.06680339679997759	0.14211256785850696	0.17316814832351193	0.11411195421733727	0.13364442875559335	0.13541002584584835	0.1547159895430056	0.22344623051904067	0.13048532533478838	0.11895705513874552	0.15507082216008075	0.11601701560142111
cre_____________A	0.09530148826210431	0.09226872101433412	0.22949272236164456	0.0765947467305973	0.16192914090243465	0.2145490177261981	0.09504926890044277	0.16300575265137085	0.04783311210655787	0.11691848489814004	0.14619414952329052	0.08073342402363935	0.14765502436916622	0.0969939830718827	0.11154733211427972	0.1648899437697623	0.1387534788598978	0.1287067867064543	0.13016225368026854	0.08315799547839331
mlg_____________A	0.8782563174213015	0.8101527106076808	0.8124360461913349	0.8660136000205082	0.836450096264103	0.842227847837423	0.8285218983723822	0.954945468150504	0.7181176624776646	0.6167012658861813	0.8600636862433427	0.8984309989293485	0.7712233320011924	0.8196367988595814	0.9390475996080254	0.8522825215457471	0.8372327831689621	0.5231041613946359	0.8466420017481862	0.6513942020694589
srd_____________A	0.5054642279659667	0.43361640958954445	0.6117998813910442	0.7644997470272508	0.4728391517443556	0.5464161337046655	0.43558671583443065	0.6611809123748712	0.5583868750242228	0.4442823032837699	0.4248793968394647	0.44925112930503924	0.6006211226496245	0.6294355617033566	0.6581093840675013	0.5159678065704402	0.4781490781730214	0.3897108718044912	0.5311658290560504	0.456112447499518
kpe_____________A	0.10558260810499757	0.1510349228926622	0.39026724306667027	0.28586200898078334	0.1861850504106251	0.24853959415679375	0.15357571327731886	0.33675547647126	0.23796696947799184	0.1837304049427824	0.22824570520966989	0.4228104729899492	0.1735149252462211	0.1879604226197388	0.20506871830967435	0.2895909371948602	0.1521922644747741	0.14695680321866997	0.2026508352622667	0.3026851204213712
gba_____________A	0.1250649655046091	0.1727584513147284	0.16739657103774136	0.03989382756890288	0.0995724317959901	0.11512773715292586	0.1332658949106932	0.39874410084852163	0.03911969324754707	0.05488353953356281	0.23602857298722793	0.12969102553830675	0.08184004025663662	0.0901795881510411	0.3151840020031235	0.14304537788286673	0.13615389213954618	0.03890958294195676	0.17565016868486605	0.03801992717987727
tmh_____________A	0.11302884503734581	0.16377837167605305	0.4227444125073137	0.12561249134778343	0.203042461351447	0.26626885642498155	0.1655558499571953	0.3668960573610603	0.09080755585222415	0.2003574967085854	0.2484853686496848	0.1487168623561136	0.1882661692828898	0.20795372374043966	0.22636339188390125	0.31232138452196545	0.1603010327799949	0.15732723369688656	0.21855573648163262	0.15105830639092596
aka_____________A	0.8741005662901613	0.7684960787413874	0.7513131000052242	0.9402606636073764	0.7514390528109856	0.9171698560595972	0.9021730709922297	0.9349356459045128	0.8857608522090176	0.23314424293162625	0.9066751065414073	0.9530088553141446	0.7182532300396419	0.9233552104258335	0.9204565721813914	0.9581508372400284	0.6497832278853819	0.3986176192061868	0.8109054177469683	0.787531567485151
lah_____________A	0.04278173433117875	0.08182065444825322	0.2164120586867688	0.04430031461282717	0.0499995279848949	0.06381117025031086	0.059064754181551535	0.165758268161135	0.039836889974198916	0.06136409159607234	0.09102875104238692	0.06381065835674885	0.09385688734738873	0.1054726278800191	0.1407439716734323	0.09435002399825879	0.044124431775209395	0.04323333056676626	0.0948946480355359	0.03929754879398432
lav_____________A	0.9161280627736589	0.9489210553444476	0.9180350100466991	0.9563566423066516	0.9052807556716709	0.899494918186027	0.9721108737871941	0.9476837197628235	0.8897684834716688	0.9110496206484027	0.9536096727825581	0.9880925221809083	0.8950956856938349	0.7865623453433064	0.9567932702307075	0.9235805745626533	0.9738468381008918	0.8919075333536874	0.9642784257654574	0.9494755944011579
hai_____________A	0.05318698676593102	0.058602530384204446	0.09499415445325012	0.04880181242916359	0.07433723517040458	0.09730276115045078	0.06228851378759523	0.10199649734641694	0.03542801122438494	0.0692556809391598	0.07584880261289105	0.06235597057469658	0.05788352042429076	0.053664145469807974	0.07148349495784476	0.1009047434558034	0.07901592361032403	0.06520611380142671	0.06961758961668571	0.062037228186704554
bnc_____________A	0.036461148350513777	0.06827088678053754	0.13808266776101621	0.03689968193377382	0.04761507943979207	0.052798755536671224	0.06274789370759944	0.1099212570371834	0.03813485122723179	0.050481024509590446	0.08285764950704755	0.051203406902092304	0.07373673596713591	0.08039450409179529	0.10937536808765784	0.08720432539462261	0.04048374694641253	0.03605449194330031	0.070683123945924	0.04267781282827285
uzb_____________A	0.9047359748466565	0.6586411450202835	0.8535648787841702	0.7662974514654936	0.8401520660120606	0.7674800016897364	0.8479064141808783	0.7573074322810884	0.9154796211953379	0.9274630711333276	0.8485031978320164	0.9523872957090544	0.6288588594395063	0.813400235278866	0.48128760786127966	0.8874402704931263	0.9283712292470886	0.971106569505606	0.7645573110612226	0.8645523244485005
nor_____________A	0.45568245644659866	0.41661956175844056	0.8274687031525195	0.6516082223236874	0.2930261027537858	0.335989943974762	0.6186589548655144	0.6272905333315753	0.2635064478073097	0.2663077411455323	0.8674505364732751	0.2765339169179083	0.5736147634947165	0.513753083768652	0.3109425542702181	0.6276773795564973	0.57706447108057	0.4024977393156747	0.4753364360546498	0.39498558993555893
zpszap6_________a	0.2925341600220966	0.312381540028894	0.36404031977103934	0.1115936563320956	0.3417550239427461	0.4072907469545591	0.3207991357529587	0.660209421640944	0.08081903886527432	0.17588753956080638	0.4814115190216328	0.28412325105192715	0.1656474448474695	0.17686609390727887	0.46133129024698366	0.4263128753729804	0.3839412962141899	0.14134213350400335	0.3637807292293018	0.13697313879535894
yid_____________A	0.7127505496153835	0.7078001035278643	0.67946597746663	0.5785055795434192	0.6978060108664017	0.8036224265348635	0.7107321863411845	0.7306260746690844	0.614906384426997	0.8543544550566955	0.5135362956630286	0.8364153751703086	0.6636873609873429	0.7008851263814824	0.7189376958952005	0.7781152970466728	0.7233098020453433	0.6812529608595144	0.7756884575966019	0.5396588914743293
jrb_____________A	0.09428589786323696	0.09031955635445005	0.23375190303852275	0.07541926319528088	0.1601827686901153	0.2171627175002648	0.09252760310594968	0.16312702373556157	0.046335965158695765	0.11436415065167928	0.14419074927337464	0.08150623816891342	0.14860703368526137	0.09667605852874099	0.10745279462685296	0.16416503048247752	0.1388379678355571	0.12941029754032196	0.1302377835915269	0.08064564488313263
pus_____________A	0.7718820351926184	0.8957379982011954	0.9446593249284819	0.7516242625226104	0.7717210977832766	0.836314291962396	0.9091712297701965	0.8868846104615533	0.7270410154469268	0.9292957664220305	0.8526007829792238	0.7946203899266354	0.9228567626772883	0.8295577166806309	0.8807831704213014	0.8361774893073624	0.9301485876245268	0.9136836366563372	0.9385681830665338	0.8580171248026092
kau_____________A	0.18961844813768827	0.137480605624843	0.3211874184681261	0.28244512863003474	0.24530145726352565	0.22690227722115971	0.161014328982415	0.36511881348892716	0.20859966666863203	0.16749913972367272	0.21012086479298908	0.41538462704794704	0.2166706677296893	0.14523763922867153	0.19842333439121396	0.2602001765094023	0.1553141368118665	0.13986806830898554	0.17689830615271554	0.3227104006502522
hbs_____________A	0.482490873951017	0.6100137267440618	0.8100944946867691	0.8651926305562212	0.27977945080975614	0.7055944836911825	0.6003144257312689	0.8458984414911052	0.4816205344129664	0.2762487430181582	0.6202257866466515	0.49748515883687006	0.7697666974250952	0.8180264649814981	0.8133493458813066	0.7137722561434139	0.3736260976712782	0.2064038436065186	0.6946524226413141	0.424056068192687
syr_____________A	0.3292287879896501	0.2740893321158334	0.6355924123389765	0.24416530854507323	0.1559283250763958	0.21349484487113157	0.4316604935935042	0.38297838634722664	0.1592402324683307	0.15335761050081567	0.7084301950998487	0.18454893268515735	0.4086487183874012	0.301322075165312	0.16751599021345423	0.39293971924059945	0.4680296071216976	0.2791041203951471	0.31437372607052805	0.26181734500947773
luy_____________A	0.043335724601598714	0.08283429803865988	0.20624617823551314	0.04475052268855149	0.09861227444825041	0.06426647486607219	0.06357166892597466	0.15928992148626409	0.04180211601710448	0.06227294660304344	0.09433080171284376	0.061729294438827076	0.09327273599760087	0.10441440110440514	0.14220059880047195	0.09666290241858659	0.045282558043945	0.043276206233762	0.09236378877357604	0.042142544379456984
nep_____________A	0.9652569819017894	0.9570323390392386	0.9382870771546654	0.9633479414449753	0.9692500052231878	0.914640155114438	0.9875869725285449	0.9610933478521383	0.9011936073025254	0.9246706123326522	0.9775633566783443	0.9899692641951954	0.9160695738060434	0.8184987675030196	0.9635611402014724	0.9648299266484296	0.9780977221780953	0.908141685966769	0.9709939022292451	0.9739965128278117
doi_____________A	0.1760428173197539	0.12421560330826244	0.2945575957575377	0.09932947988600406	0.15478675458596503	0.20797909980783127	0.14823816985253957	0.33179268363581826	0.05967894574557111	0.15066634499448645	0.19080726613952292	0.12264148869267796	0.19627459468409683	0.12774238898479987	0.17614731227048758	0.2374013827448473	0.14530078763742332	0.12810546406912285	0.1619631823340834	0.1370407109405183
bal_____________A	0.1687091922337387	0.11674533443106083	0.28600542027241777	0.24817366320855394	0.14448477850426122	0.19887184782616654	0.14181407627646286	0.31498177720689996	0.181478518867704	0.1407024459278394	0.18113017095816283	0.3757796172126359	0.18506333072803005	0.11798787701326095	0.16273633923093112	0.22535002932610887	0.1411001184823228	0.12234774367465397	0.15518550461930566	0.28330004046295737
din_____________A	0.11331324581115695	0.16434420201911626	0.4251226524514773	0.12602510104022266	0.3018011649688228	0.26718982942465197	0.27360473826385207	0.3685101692009007	0.09108322762632379	0.2010770708728125	0.3596766045281477	0.1492193406503703	0.18897384623102212	0.2089974408535362	0.22720959508710567	0.4576128382046858	0.16063529976314786	0.15784021302678616	0.21955450046265745	0.23271703850550488
aym_____________A	0.2882789833060324	0.31037371162218325	0.3801221834380372	0.5373446036682142	0.4865643896017171	0.40869818329079544	0.32539620916123024	0.6657690939433905	0.22823538662577547	0.17435136487131114	0.4937917604349714	0.6440575963190769	0.16582639435644012	0.17822788972423723	0.45406610971036143	0.43910559013385697	0.3822635526298605	0.14163281580703818	0.3708546059410768	0.2981884189799838
man_____________A	0.04655464535959399	0.08938725943341126	0.23150016669627124	0.048363969137327524	0.055758431354611136	0.06933864501147362	0.06648731014892795	0.1784071462860395	0.044235998615341554	0.06787906455668892	0.10110513088603096	0.06486804213451842	0.10116997036023795	0.11430210186008125	0.15738518015601147	0.10198488985808611	0.04772980643130337	0.0463954764541878	0.10019956916217941	0.043564455334078746
orm_____________A	0.8688570024610248	0.793827211113633	0.7912050673908881	0.9477973929051449	0.8028198716538829	0.8289659670291418	0.79325416079329	0.9480150378554117	0.8924997665085407	0.5913610922523065	0.8293416715462874	0.9446685897515328	0.7509719253930471	0.7976837430460461	0.9316256858820693	0.8173741235652483	0.8282423209186246	0.5031277917571104	0.8334248161789931	0.8003910985320034
ori_____________A	0.9356205747189105	0.933080295212382	0.8706139527228618	0.9282191003988973	0.8321964058027351	0.7180194870091118	0.969293744339281	0.9267890488026973	0.8284120286342316	0.8231159731951816	0.9376948513398206	0.9630429163343289	0.8752485856714709	0.7145687781868973	0.9434719971637613	0.8815412532852847	0.9426044120552773	0.7948292647871886	0.9415622372307009	0.9138723033988491
mon_____________A	0.8867849996303255	0.9029951622601053	0.9296326384989838	0.8621955747790905	0.7597590394034647	0.8604837625259688	0.8712077160513314	0.8312873446914729	0.8961349236909107	0.8971150128228862	0.8542780123969774	0.970780125835611	0.9264097324743253	0.8043153756902874	0.8044402712282104	0.8345635349841163	0.8895936496762543	0.8861766211738563	0.9202330817623428	0.9143188377001686
del_____________A	0.05010262816111174	0.05385590941625502	0.08211807686266799	0.04525599886731027	0.06891757414282271	0.0887508941032468	0.05684677707208672	0.09086654979970028	0.032944768939992077	0.06371866271240254	0.06842620299955375	0.05801337408985944	0.05185376871628183	0.048251353765485575	0.06548591147275558	0.09142267426612082	0.0736411189528794	0.06058595314061612	0.06294953914217231	0.057184812025415144
