	feature	weigth
0	L1	0.39153709510490314
1	endangered_aggregated_status	0.747784331040616
2	eth_status	0.21392684521776437
3	cru_udhr	-0.4679294909826897
4	in_omniglot	-1.0153357045921745
5	office13_if_pack	-0.1621145463457024
6	office13_lp	-0.3360853267946045
7	firefox_lpack	-0.2175233679498951
8	firefox_dict	-0.17188346059313128
9	wp_inc	-0.775185682983853
10	on_bible_org	-0.38626661915121735
11	in_leipzig_corpora	-0.8152529770319584
12	endangered_lex	-0.6012536645382708
13	intercept	1.3761963841516571
