	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20	status	stable	status_best	stable_best
aze_____________A	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	living	v	living	v
ipk_____________A	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
kln_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
oji_____________A	s	h	v	s	s	h	s	s	s	s	h	h	s	s	h	s	s	s	s	h	borderline	-	dead	s
cre_____________A	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
mlg_____________A	v	v	v	v	v	v	v	v	v	v	tg	v	tg	v	v	v	v	v	v	v	living	-	living	v
srd_____________A	v	h	v	s	h	h	v	v	h	v	tg	v	h	v	v	s	s	v	v	v	borderline	-	living	v
kpe_____________A	v	h	v	v	s	s	v	v	v	s	v	s	s	s	s	v	s	s	s	v	borderline	-	borderline	-
gba_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tmh_____________A	s	h	v	s	s	s	v	s	s	s	h	s	s	s	s	v	s	s	s	v	borderline	-	borderline	-
aka_____________A	v	tg	v	tg	v	v	v	v	v	tg	tg	v	tg	v	v	v	tg	v	v	v	living	-	living	v
lah_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
lav_____________A	tg	v	tg	v	tg	tg	tg	tg	tg	tg	v	tg	tg	tg	tg	v	tg	tg	tg	tg	living	-	living	tg
hai_____________A	h	h	h	h	s	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	dead	-	dead	h
bnc_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
uzb_____________A	tg	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	living	-	living	v
nor_____________A	s	s	v	v	v	s	v	s	s	v	tg	s	s	s	s	v	s	s	s	v	borderline	-	borderline	-
zpszap6_________a	s	h	v	s	v	h	v	s	s	s	h	s	s	v	s	v	s	v	s	v	borderline	-	living	v
yid_____________A	v	v	tg	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	living	-	living	v
jrb_____________A	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
pus_____________A	v	v	v	v	tg	v	v	v	v	v	tg	v	v	v	tg	v	v	v	v	v	living	-	living	v
kau_____________A	v	h	v	v	h	s	h	h	v	h	h	h	h	v	h	v	h	h	h	v	borderline	-	dead	h
hbs_____________A	v	h	v	v	v	v	v	v	v	v	tg	v	v	v	v	v	v	v	v	v	borderline	-	living	v
syr_____________A	s	h	v	s	s	h	s	s	s	v	h	s	h	s	s	s	s	s	s	v	borderline	-	dead	s
luy_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	v	borderline	-	dead	s
nep_____________A	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	living	v	living	v
doi_____________A	h	h	h	h	h	s	h	h	s	h	h	h	h	h	h	h	h	h	h	v	borderline	-	dead	h
bal_____________A	v	h	h	v	h	s	h	h	v	h	h	h	h	h	h	v	h	h	h	v	borderline	-	dead	h
din_____________A	s	s	v	s	s	s	v	s	s	s	h	s	s	s	s	v	s	s	s	v	borderline	-	borderline	-
aym_____________A	v	h	v	v	v	h	v	v	v	s	v	s	s	v	v	v	v	v	v	v	borderline	-	living	v
man_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
orm_____________A	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	living	v	living	v
ori_____________A	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	living	v	living	v
mon_____________A	v	v	tg	v	v	v	v	v	v	v	v	v	v	v	tg	v	v	v	v	v	living	-	living	v
del_____________A	h	h	h	h	s	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	dead	-	dead	h
den_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
kok_____________A	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	living	v	living	v
kom_____________A	v	h	v	s	v	h	v	v	v	v	tg	v	h	v	v	v	v	v	v	v	borderline	-	living	v
kon_____________A	h	s	v	v	v	s	v	s	h	v	v	s	s	v	s	v	s	v	s	v	borderline	-	living	v
iku_____________A	s	v	v	v	s	h	v	s	s	v	h	s	s	s	s	v	s	v	h	v	borderline	-	living	v
ful_____________A	s	s	v	s	v	v	v	s	v	tg	tg	v	s	v	v	s	tg	v	v	v	borderline	-	living	v
bik_____________A	v	v	v	v	v	s	v	v	v	v	v	s	s	v	s	v	v	v	s	v	borderline	-	living	v
zha_____________A	v	v	v	v	s	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	borderline	-	living	v
zho_____________A	tg	tg	tg	tg	tg	tg	tg	v	tg	tg	tg	tg	tg	v	v	tg	tg	tg	tg	tg	living	-	living	tg
chm_____________A	s	h	v	s	s	s	v	s	s	s	h	s	s	s	s	s	s	s	s	v	borderline	-	borderline	-
que_____________A	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	living	v	living	v
est_____________A	v	v	tg	tg	v	v	tg	v	v	tg	tg	v	tg	v	tg	v	tg	v	tg	v	living	-	living	-
bua_____________A	v	h	v	s	v	h	v	v	v	v	v	v	h	v	v	v	v	v	h	v	borderline	-	living	v
mwr_____________A	s	s	v	s	s	s	v	s	s	v	v	s	s	s	s	v	s	s	s	v	borderline	-	borderline	-
kur_____________A	tg	tg	tg	tg	v	v	v	v	v	tg	tg	v	tg	v	v	v	tg	v	tg	v	living	-	living	v
gon_____________A	s	h	v	s	s	s	v	s	s	s	h	s	s	s	s	s	s	s	s	v	borderline	-	borderline	-
raj_____________A	v	h	v	v	h	s	h	h	v	h	h	h	h	h	h	v	h	h	h	v	borderline	-	dead	h
sqi_____________A	tg	v	tg	v	v	v	v	v	tg	v	v	v	v	v	v	v	v	v	v	v	living	-	living	v
rom_____________A	v	h	v	v	s	v	v	v	v	v	v	v	s	v	v	v	v	v	v	v	borderline	-	living	v
msa_____________A	tg	v	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	living	-	living	tg
fas_____________A	v	v	tg	tg	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	living	-	living	v
ara_____________A	v	v	tg	tg	v	v	tg	v	v	tg	tg	v	tg	v	tg	v	tg	v	v	v	living	-	living	-
swa_____________A	v	v	v	tg	tg	v	v	v	v	v	v	v	v	v	v	tg	tg	v	v	v	living	-	living	v
zza_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	v	borderline	-	dead	s
grb_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
grn_____________A	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	living	v	living	v
hmn_____________A	s	h	v	s	v	s	v	s	s	s	h	s	s	v	s	v	s	v	s	v	borderline	-	living	v
xtw_____________A	s	h	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	h	dead	-	dead	s
xtv_____________A	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
mizxtu1_________a	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
mcextt13________a	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
mabxts10________a	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	h	dead	-	dead	s
xtr_____________A	s	h	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	h	dead	-	dead	s
xtq_____________A	s	h	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	h	dead	-	dead	s
mabxtp9_________a	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
xtz_____________A	s	h	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	h	dead	-	dead	s
mimxty3_________a	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
xtg_____________A	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	dead	h	dead	h
xte_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
mabxtd8_________a	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
xtc_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
miixtb2_________a	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
mimxta2_________a	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
xto_____________A	h	s	h	h	h	h	h	h	h	s	s	s	h	h	s	h	s	s	s	h	dead	-	dead	-
mcextn12________a	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
mcextm11________a	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
mcextl10________a	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
mcextj9_________a	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
mcexti8_________a	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
xth_____________A	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
wji_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
wja_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tmv_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
txo_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
