integrated_code	L2	L1	endangered_aggregated_status	eth_status	cru_docs	cru_words	cru_floss_splchk	cru_watchtower	cru_udhr	in_omniglot	la_primary_texts_online	la_primary_texts_all	la_lang_descr_online	la_lang_descr_all	la_lex_res_online	la_lex_res_all	la_res_in_online	la_res_in_all	la_res_about_online	la_res_about_all	la_oth_res_in_online	la_oth_res_in_all	la_oth_res_about_online	la_oth_res_about_all	mac_input	mac_input_partial	microsoft_pack	win10_input_method	ubuntu_pack	ubuntu_input	office13_if_pack	office13_lp	firefox_lpack	firefox_dict	wals_samples_100	wals_samples_200	indi_blogs	indi_posts	indi_words	indi_users	indi_tweets	wp_articles	wp_total	wp_edits	wp_admins	wp_users	wp_active_users	wp_images	wp_depth	wp_inc	wp_real_articles	wp_adjusted_size	uriel_feats	on_bible_org	in_leipzig_corpora	find_bible_all_versions	treetagger	endangered_langspec	endangered_lex	seed_label
aze_____________A	0.0	17.0029758364	0	1.0	747.0	111382.0	0	0	0	1			0.0	2.0	3.0	3.0					1.0	1.0	2.0	7.0	0	0	1	1	1	1	1	1	1	0	0	0						108260.0	281882.0	3869205.0	13.0	115795.0	456.0	17641.0	35.0	0	40435.0	522436392.982	0.0	0	1	6.0	0	0	0	v
ipk_____________A	0.0	8.682199026	7	6.5	4.0	49574.0	0	0	0	1			1.0	1.0	1.0	1.0									0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0	7.0	0	0	0	-
kln_____________A	0.0	15.3889898389	0	5.0	77.0	124214.0	0	1	0	0	1.0	1.0	1.0	2.0	1.0	1.0							8.0	10.0	0	1	0	0	0	0	0	0	0	0	0	0														0			96.0	0	0	6.0	0	0	0	-
oji_____________A	0.0	11.4284671897	0	6.5	177.0	54742.0	0	0	0	1			0.0	1.0	2.0	3.0							0.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0				287.0	18482.0									0			0.0	0	0	17.0	0	0	0	-
cre_____________A	0.0	10.7239939922	6	5.0	5.0	8748.0	0	0	0	1	1.0	2.0	3.0	5.0	2.0	3.0							0.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0				21.0	4272.0	104.0	2907.0	29209.0	1.0	8339.0	11.0	0.0	0.0	0	53.0	196774.580838	0.0	0	0	10.0	0	0	0	-
mlg_____________A	0.0	16.6836731184	0	1.0	10788.0	1673616.0	1	1	0	1	1.0	1.0	0.0	3.0	1.0	2.0					1.0	1.0	5.0	8.0	0	1	0	0	1	1	0	0	0	1	0	0				252.0	56495.0	82706.0	217282.0	831547.0	3.0	13003.0	36.0	4.0	10.0	0	26712.0	88144532.6591	33.0	0	1	13.0	0	1	0	-
srd_____________A	0.0	13.9978329481	0	6.0	659.0	409273.0	1	0	0	1					1.0	1.0							1.0	2.0	0	1	0	0	1	1	0	0	0	0	0	0				31.0	574.0	5220.0	12594.0	153272.0	2.0	10387.0	21.0	123.0	24.0	0	1944.0	13971052.4062	0.0	0	1		0	0	0	-
kpe_____________A	0.0	14.0143622364	0	5.0	2.0	3566.0	0	0	1	1					1.0	1.0									0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0	5.0	0	0	0	-
gba_____________A	0.0	13.6617776242	0	5.0	3.0	8684.0	0	1	0	0	0.0	1.0			1.0	2.0					1.0	1.0	0.0	4.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0	7.0	0	0	0	-
tmh_____________A	0.0	14.0372138726	0	4.0	3.0	52345.0	0	0	0	1			1.0	1.0	1.0	1.0					0.0	2.0			0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0	4.0	0	0	0	-
